"RowId","RegionCode","RegionOperatorCode","ServiceCode","LineName","Description","StartDate","NationalOperatorCode"
1,"EA","703BE","9-91-_-y08-11","91","Ipswich - Hadleigh - Sudbury","2019-12-03","BEES"
2,"EA","753BDR","26-SJL-8-y08-2","SJL8","Blundeston - Sir John Leman School","2019-12-03","BDRB"
3,"EA","767STEP","7-985-_-y08-4","985","Bury St Edmunds Schools - Risby","2019-12-03","SESX"
4,"EA","A2BR","20-18-A-y08-1","18","Newmarket - Fulbourn - Teversham - Newmarket Road Park & Ride","2019-12-03","A2BR"
5,"EA","A2BR","20-32-_-y08-1","32","Trumpington P & R - Hauxton","2019-12-03","A2BR"
6,"EA","A2BR","20-7A-_-y08-1","7A","Trumpington Park & Ride - Whittlesford - Trumpington Park & Ride","2019-12-03","A2BR"
7,"EA","CHAM","13-374-_-y08-4","374","Clare - Hartest - Horringer - Bury St Edmunds","2019-12-03","CHAM"
8,"EA","DEWS","20-15-E-y08-1","15","St Ives - Over","2019-12-03","DEWS"
9,"EA","FECS","1-122-_-y08-5","122","Lowestoft Town Centre - Oulton - Town Centre","2019-12-03","FECS"
10,"EA","FECS","1-59-_-y08-3","59","Ipswich Town Centre - Chelsworth Ave - Rushmere","2019-12-03","FECS"
11,"EA","FECS","1-800-_-y08-14","800","Martlesham P&R - Ipswich Town Centre - London Road P&R","2019-12-03","FECS"
12,"EA","FECS","1-915-_-y08-1","915","Rendlesham - Farlingaye High School","2019-12-03","FECS"
13,"EA","FECS","1-917-_-y08-3","917","Rendlesham - Farlingaye High School","2019-12-03","FECS"
14,"EA","FECS","1-99B-_-y08-8","99B","Pakefield High School - Kessingland","2019-12-03","FECS"
15,"EA","FECS","1-99H-_-y08-1","99H","Halesworth - Bungay High School","2019-12-03","FECS"
16,"EA","FECS","1-X1-_-y08-16","X1","Lowestoft - Gt. Yarmouth (- Norwich)","2019-12-03","FECS"
17,"EA","GOCT","17-SHC-_-y08-1","Sudbury Health Centre","Great Cornard - Health Centre - Glemsford","2019-12-03","GOCT"
18,"EA","IPSW","2-115-_-y08-1","115","Ipswich - Coddenham - Debenham - Mendlesham","2019-12-03","IPSW"
19,"EA","IPSW","2-174-_-y08-7","174","Woodbridge/Kesgrave - Kirton - Trimley - Old Felixstowe","2019-12-03","IPSW"
20,"EA","IPSW","2-3-_-y08-9","3","Ipswich Town Centre - Nacton Road - Futura Park","2019-12-03","IPSW"
